Roman-Urdu,Urdu
stringzoye,سٹرنگز
sadqay,صدقے
raseli,رسیلی
mana,مانا
puranay,پرانے
chemistryblogsadaf,کیمسٹری
paish,پیش
bulding,بلڈنگ
plastic,پﻻسٹک
momineen,مومنین
rent,رينٹ
dosto,دوستوں
parhta,پڑھتا
sami,سامی
faisla,فیصلہ
mante,مانتے
krdgi,کردگی
honge,ہونگے
behta,بہتا
tota,طوطا
bhayia,بھیا
adhoori,ادھوری
larazte,لرزتے
badal,بادل
kharab,خراب
younis,یونس
bhai,بهائی
go,گو
raah,راہ
mishaaao,میشا
bahane,بہانے
agni,اگنی
rahe,رهے
sharmaya,شرمایا
zahen,ذہین
yes,ييس
ajheeran,اجیرن
kalo,کالو
piti,پیٹی
kiun,کیوںکہ
lagatar,لگاتار
non,نون
swim,سوم
mnahil,مناہل
jaogi,جوگی
haleem,حلیم
mazboot,مضبوط
banda,بندا
fast,فاسٹ
silk,سلک
samne,سامنے
suroor,سرور
rubbish,ريببش
allah,الله
taulo,تالو
masla,مثلا
prety,پریتی
panda,پانڈا
patloon,پتلون
faslegul,فصل
doobnay,ڈوبنے
stall,سٹال
copy,کپي
bahao,بہاو
thamay,تھامے
pity,پٹي
konse,کونسے
likhne,لکھنے
warq,ورق
jain,جین
charsiokoi,چارسو
rashiid,راشد
rep,ریپ
stop,سٹوپ
likhti,لکھتی
rabia,رابعہ
daryauon,دریاؤں
saza,سزا
aziz,عزیز
jasmin,جاسم
han,هاں
krni,کرنی
17,١٧
start,سٹارٹ
stupid,سٹوپڈ
lunch,لنچ
wahab,وہاب
hafeez,حفیظ
isa,اسا
kabhokatha,بھوکا
tyre,ٹير
chiknikuriraja,چکنی
zindagane,زندگانی
pora,پورا
trunk,ٹرينک
snkk,سنک
idea,ادیا
nazish,نازش
rajput,راجپوت
hahaha,ھا
ye,ي
minhas,منہاس
prince,پریس
imprisonment,مپرسونمنٹ
intro,انٹروڈکشن
kaat,کاٹ
maseeha,مسیحا
japan,جاپان
mard,مرد
saba,سبا
insha,انشا
warn,وارن
rehte,رہتے
nibhaya,نبھایا
girl,گرل
brwe,بروے
galtiob,غلطیوں
alcoholnahi,الکوحل
dair,دير
shariyat,شریعت
akhund,اخوند
bimaari,بیماری
ankhon,آنکھوں
mehshar,محشر
parwah,پرواہ
itwaar,اتوار
chahon,چاہوں
israr,اسرار
pidda,پیڈ
minimum,منميم
poch,پوچھ
ura,اڑا
code,کود
krwa,کروا
aja,آجا
apne,اپنے
dooba,ڈوبا
lagana,لگانا
maand,ماند
sending,سینڈنگ
mah,ماہ
karega,کریگا
paate,پاتے
chalak,چالاک
malal,ملال
dear,دیر
deewaaron,دیواروں
muslmanu,مسلمانو
anaa,انا
future,فيٹير
seekha,سیکھا
logo,لوگو
i,اای
ramgar,رام
tarapta,تڑپتا
ajkal,آجکل
krana,کرانا
anoushey,انوشے
sundr,سندر
nazuk,نازک
aunti,آنٹی
karta,کرتا
keechar,کیچڑ
kachra,کچرا
khudaya,خدایا
ajdaad,اجداد
b,ب
shami,شامی
behosh,بیہوش
sada,سادہ
boli,بولی
charha,چڑھا
chachey,چاہیں
sken,سکیں
ga,گا
farsh,فرش
da,د
knot,کنوٹ
aisa,ایسا
nine,ناین
nikla,نکلا
internet,انٹرنیٹ
lo,لوںگا
pillow,پللو
zaheer,ظہیر
toton,طوطوں
yaaden,یادیں
hans,هنس
step,سٹيپ
walon,والوں
lashen,لاشیں
apni,اپنی
wale,والے
sach,سچ
tareen,ترین
bachi,بچی
aus,اوس
mushhoor,مشہور
innocent,اننکينٹ
tukra,ٹکرا
this,تہس
harsh,حارش
mirza,مرزا
rukhsana,رخسانہ
sham,ہام
hoti,ہوت
ameer,امےر
lo,لؤ
nam,نام
inaam,انعام
sangakara,سنگاکارا
lrai,لڑائی
bheeg,بھیگ
likhte,لکھتے
hatthon,ہاتوں
poni,پونڈ
gzrega,گزرے
tao,تاو
kscnumaz,کسک
perwaaz,پرواز
tpkta,ٹپکتا
api,آپی
hain,ھیں
rahi,رہی
phook,پھونک
inhi,انہی
batsman,بٹس
chuka,چکا
raqs,رقص
tor,طور
wazaht,وضاحت
kitna,کتنا
held,ھیلڈ
dehekte,دہکتے
itna,تنا
farmaya,فرمایا
poetry,پؤيٹری
bharosay,بھروسے
rasool,رسول
musalman,مسلمان
send,سنڈ
zama,ذمانا
ghami,غمی
mastana,مستانہ
andar,اندر
malool,ملول
zabr,زبر
kor,کور
sha,شا
sunsan,سنسان
dekha,دیکھا
kahe,کہے
baad,باد
rose,روسے
haaro,ہارو
faisal,فيصل
pari,پری
rana,رانا
qareeb,قریب
chwal,چول
namazi,نمازی
b,بهی
pas,پاس
khilti,کھلتی
oka,وکا
pochi,پوچھی
bhulana,بھولنا
dolly,ڈولی
best,بیسٹ
sheri55,شیری
google,گوگل
atraaf,اطراف
koney,کونے
softchat,سوفٹ
talian,تالیاں
munafqat,منافقت
bahadur,بهادر
mast,مست
tabeeb,طبیب
is,اس
ajeeb,عجیب
news,نيوز
lake,لاکي
soomro,سومورو
saad,سعد
karo,کارو
buzdar£(taunsa£,بزدار
saaz,ساز
aakar,آکر
fareedi,فریدی
hello,حےلو
qasi,قصی
aurton,عورتوں
letter,ليٹٹر
aj,آج
aakhri,آخری
unko,انکو
koshish,کوشش
raja,راجا
hath,ہاتھ
wasi,وصی
cheez,چیز
sumaya,سمایا
warq,ورقہ
guest,گيسٹ
ikhtiyarat,اختیارات
shokh,شوخ
lal,لعل
muth,متھ
nibhatay,نبھاتے
100,١٠٠
loha,لوها
wajood,وجود
ponch,پونچھ
4,٤
darkeyes,ڈارک
aftab,آفتاب
yes,ییس
zoq,ذوق
balon,بالوں
hajat,حاجت
parasti,پرستی
reply,ریپلے
bhagna,بھاگنا
seeru,سیرو
zubair,زبیر
this,تھس
qurban,قربان
jala,جلا
qyamat,قیامت
dreamzz,ڈریمز
titli,تتلی
muskarahat,مسکراہٹ
rakhni,رکھنی
bharosa,بھروسہ
doobti,ڈوبتی
rahin,رہیں
nabi,نبی
rafaqat,رفاقت
request,ریکو
raftagan,رفتگاں
dharka,دھڑکا
jana,جاناں
bombom,بوم
shop,شوپ
hakdar,حقدار
diwana,دیوانہ
ali,علی
nishani,نشانی
qualified,کوالفيڈ
bech,بیچ
raho,رہو
fawad,فواد
adha,آدھا
khaam,خام
razi,رضی
tootne,ٹوٹنے
taqdeer,تقدیر
mizaj,مزاج
korey,کورے
mehr,مہر
ibadat,عبادت
kashmiri,کشم
welcome,ويلکم
ungli,انگلی
junaid12,جنید
taron,تاروں
tark,ترک
arty,آرٹی
tumhen,تمھیں
ate,آتے
jaga,جگا
bar,باربار
bekhudi,خودی
ache,اچھے
ameen,امين
hon,ہون
marzi,مرضی
z,زپر
paya,پایا
ghr,گهر
kaliyoo,کلیوں
part,پارٹ
year,یير
infidelity,انفڈيلٹي
khurmi,خرمی
moon,مون
hotgirl302,ہوٹ
masrof,مصروف
al,الحمدلللہ
admi,آدمی
thi,تھ
concrete,کونکريٹي
daman,دامن
taraash,تراش
bad,بعد
test,ٹیسٹ
niswar,نسوار
aa,آ
chehre,چہرے
barbad,برباد
janane,جاننے
dog,ڈوگ
chirag,چراغ
yahya,يحيا
kharch,خرچ
pahar,پہاڑ
sadi,سادی
itafaq,اتفاق
namos,ناموس
dunya,دنیا
alcohol,کوھول
uthna,اٹھنا
rabi,ابیع
da,دا
perho,پرہو
aggregate,اگگريگيٹ
chkron,چکروں
cast,کاسٹ
mazor,معذور
manaya,منایا
hmmmmm,ہمم
nagwar,ناگوار
chahiye,چاہیئے
pain,پين
ally,اللي
manata,مناتا
hun,ھوںج
actor,اکٹر
andheray,اندھیرے
mujay,مجے
khafa,خفا
tenu,تینوں
talkh,تلخ
deep,دیپ
able,ابل
bikta,بکتا
aadatein,عادتیں
rooms,رومز
lakh,لاکھ
football,فٹبال
juharabad,جوہر
pina,پینا
tukron,ٹکڑوں
sarika,سارک
unlmitd,لمیٹڈ
j,جار
metr,میٹر
tell,ٹیل
dhamakay,دھماکے
kalpana,کلپنا
qaboo,قابو
azeem,عظیم
hussain,حسسیں
aana,آنا
khubsurat,خوبصورت
dari,داری
dekh,دیکھ
khon,خوں
truck,ٹرکک
rehne,رهنے
ghussay,گھسے
hanste,ہنستے
samajhta,سمجھتا
breakfast,بريکفاسٹ
shama,شمع
ayesha,ایشا
tina,ٹینا
sang,سنگ
kren,کریں
koni,کونی
sheikh,شیخ
mazay,مزے
lgani,لگانی
ntasha,نتاشا
baanhon,باہوں
okay,وکے
lekin,لیکن
silamat,سلا
friend,فرينڈ
buri,باری
t,ٹی
mayaar,معیار
rafzi,رافضی
gehray,گہرے
nakami,ناکامی
ninety,ننيٹي
beth,بیٹھ
kijye,کیجیئے
do,ڈون
laya,لایا
yap,یاپ
influence,انفليينس
amna,امنہ
wahin,وہیں
zaida,زیدہ
sota,سوتا
haasa,ہاسا
itni,اتنی
steel,سٹيل
mubtala,مبتلا
guzrta,گزرتا
lakiron,لکیروں
nashta,ناشتا
gado,گدو
jurm,جرم
sakht,سخت
agaya,آگیا
frm,فرم
mung,منگ
sialkot,سیالکوٹ
diye,دیے
kason,کسوں
need,نید
kitne,کتنے
saka,سکا
paki,پکی
manzor,منظور
za,زا
do,دوؤ
deobandi,دیوبند
bolty,بولتے
dhoka,دھوکہ
bolta,بوتا
forty,فورٹي
jhukna,جھکنا
masoma,معصومہ
dhala,ڈھلا
landa,لان
during,دورنگ
anwar,انور
tahreeren,تحریریں
joint,جونٹ
baaqee,باقي
thandak,ٹھنڈک
muskratay,مسکراتے
teacher,ٹیچر
lend,لينڈ
group,گروپ
pioneer,پانیر
yahi,یہی
krwani,کروانی
chandni,چاندنی
ston,ستو
khari,کھڑی
sho,شوٹ
anjan,انجان
its,اٹس
15,۱۵
lambay,لمبے
score,سکور
jawad,جواد
hosla,حوصلہ
asma,اسما
utho,اٹھو
chay,چائے
geela,گیلا
tumhari,تمہاری
aadi,عادی
3,3
ghata,گھٹا
numbr,نومبر
hell,حيل
gstones,ستون
shesha,شیشہ
aj,اج
tootay,ٹوٹے
kisi,کسی
akash,آکاش
mujh,مجھ
sara,سرا
bangladesh,بنگلادیش
ulatne,الٹنے
sans,سانس
dilon,دلوں
killing,کللنگ
hard,حارڈ
buri,بری
roni,رونی
rehan,ریحان
chalnay,چلنے
topic,ٹوپک
think,تھنک
patri,پٹری
hojao,ہوجاؤ
jism,جسم
tu,تونے
angotha,انگوٹھا
honey,حونيي
law,لاو
zahid,زاہد
sunta,سنتا
h,ہپ
bhatkay,بھٹکے
gaar,گار
skm,سکم
sehra,صحرا
shortcut3,شورٹ
line,لاین
jahan,جهان
ghum,گھوم
umad,امڈ
bula,بلا
mahi,ماہی
mehrban,مہربان
bhool,بھول
dena,دینا
baraakss,برعکس
palkon,پلکوں
ye,یے
danish,دانش
labon,لبوں
waqiye,واقعے
sahb,صاحب
adad,عدد
tumen,تمیں
jaon,جاوں
qom,قوم
uske,اسکے
ameen,آمین
sanwarti,سنوارتی
jalti,جلتی
gherat,غیرت
maheroozwaalaikum,مہروز
namaz,نماز
nazi,نازی
power,پووڑ
ablees,ابلیس
both,بوتھ
saal,سال
mana,ماننا
phal,پھل
intzar,انتظار
hisar,حصار
khareed,خرید
bne,بنے
bnda,بندہ
pachaas,پچاس
sabun,صابن
blacker,بلاکر
saani,ثانی
nom,نوم
ibraheem,ابراہیم
jazbe,جذبے
kharida,خریدا
pyara,پیارا
new,نيو
ungliyan,انگلیاں
marizo,مریضوں
bhai,بهائ
ahmad,احماڈ
11,١١
train,ٹرین
masti,مستی
sajid,ساجد
chali,حالی
dakhil,داخل
heran,حیران
wada,وداع
nikal,نکال
mout,موت
guilt,گولٹ
soti,سوتی
khawaja,خواجہ
beet,بيت
branch,برانچ
u,امبر
ka,کا
alweda,الوداع
afaq,آفاق
english,ينگلش
cherry,چ
mdl,مڈل
nashta,ناشتہ
sari,ساری
kare,کرے
dekhni,دیکھنی
zbrdast,زبردست
ya,یا
larka,لڑکا
paper,پاپير
farooq,فاروک
lakeer,لکیر
hijab,حجاب
ja,جا
nu,نوں
maria,ماریا
160,١٦٠
shaheed,شہید
smjhne,سمجھنے
karwa,کڑوا
choha,چوہا
police,پولیس
dosh,دوش
kamra,کمرا
nafees,نفیس
lahore,لاهور
naina,نینا
zarqaw1y,زرقا
kanjosi,کنجوسی
ifrah,افرا
pooron,پوروں
uncle,انکل
egg,يگگ
masomen14labikyahussainkisi,معصومین
haerani,حیرانی
rop,روپ
yasir,یاسر
masha,ماشاء
lagti,لگتی
taskeen,تسکین
mobirock,موبی
chilaya,چلایا
chaho,چاہو
latikehti,لاتی
rag,راگ
agaz,آغاز
barson,برسوں
paroo1me,پارو
anjane,انجانے
attend,اتینڈ
phoncha,پہونچا
bees,بيس
naraz,ناراض
idhr,ادھر
naya,نیا
qabool,قبول
zya,زیا
rukn,رکن
student,سٹيڈينٹ
bta,بتا
khatir,خاطر
ghalib,غالب
chwkidar,چوکیدار
bhoolta,بھولتا
salam,سلام
kuch,کچھ
try,ٹري
pakron,پکڑوں
kya,کیاکیا
hua,ہوا
jahan,جہاں
socha,سوچا
hue,ہوے
naaz,ناز
contribute,کونٹربيٹي
dalta,ڈالتا
ainda,آیندہ
house,حويوز
darti,ڈرتی
manate,مناتے
jung,جنگ
tehqeeq,تحقیق
blasts!m,بلاسٹ
deewangi,دیوانگی
sportsman,سپورٹس
auqaat,اوقات
yhi,یهی
aitraaz,اعتراض
bio,بیولوجی
hath,هاتھ
taqseem,تقسیم
zr,ذ
te,تے
khul,کھل
do,دو
koocha,کوکہا
jinne,جننے
hasda,حسدا
sehtmand,صحت
ab,اب
thori,تھوڑی
apke,آپکے
qeemty,قیمتی
bheje,بھیجے
krti,کری
socho,سوچو
nadia,نادیہ
link,لنک
zakhamon,زخموں
nadir,نادر
fraud,فرايڈ
principal,پرنسپال
hrgiz,ہرگز
poche,پوچھیں
k,کہ
marwa,ماروی
asad,اسد
chahta,چاہتا
dilo,دلو
maiti,میٹ
ghaza,غذا
barsaat,برسات
ujaalah,اجالا
peer,پیر
bakri,بکری
haspatal,ہسپتال
hukmranoon,حکمرانوں
tooth,ٹوتھ
niala,نیلا
seeen,سین
rehna,رهنا
sakta,سکتا
inkar,انکار
bakra,بکرا
pa,پا
shoq,شوق
chuti,چوتھی
chahe,چاہے
line;mera,لین
nd,ند
hans,ہنس
ro,رو
ghareeb,غريب
lye,لیے
hakim,حاکم
shumar,شمار
frankly,فرانکلی
ane,آنے
fiaz,فیاض
andleeb143,عندلیب
papy,پاپے
pake,پکے
ralf,رالف
zuban,زباں
sedhi,سیدھی
uthi,اٹھی
me,می
interinfo,انٹر
galan,گلاں
ma,م
ridr,ردر
kr,کر
ankh,آنکھ
hata,ہٹا
ibn,ابنِ
ghazee,غازی
hussaini,حسینی
marne,مرنے
jagti,جاگتی
moti,موتی
dukhe,دکھے
khumar,خمار
shaki,شاکی
mohamed,موحاميڈ
gham,غم
kan,کان
junhi,جونہی
kashi,کاشی
rabipagl,ربی
nazren,نظریں
itne,اتنے
aadhe,آدھے
wafa,وفا
tareef,تعریف
khwab,خواب
ul,ال
bkwas,بکواس
hotay,هوتے
dharti,دھرتی
khanda,خاندا
hostel,ہوسٹل
arsay,عرصے
likha,لکھا
nasir,ناسر
halako,ہلاکو
ladli,لاڈلی
alien,الين
am,ام
bargah,بارگاہ
sanwar,سنوار
juda,جدا
yar,یار
rahe,رہے
deti,دیتی
sabzi,سبزی
rocking,روکنگ
aaka,اکا
kafir,کافر
lion,لون
1,١
ate,اتی
chamakta,چمکتا
pagal,پاگل
lamba,لمبا
khonay,کھونے
qasid,قاصد
smjhy,سمجهے
bemar,بیمار
jeet,جیت
hal,حال
bht,بهت
news,نیوز
welcome,ویلکوم
price,پرس
guzarne,گزرنے
khoon,خون
aas,ااس
wesy,ویسی
hmara,ہمار
roay,روے
share,شر
web,ویب
rawan,رواں
ti,تی
fehmi,فہمی
arm,آرم
nikalay,نکالے
bs,بسے
read,ريڈ
khushi,خوشی
intent,انٹينٹ
shazi,شازی
gulab,غلاب
mangna,مانگنا
dhoya,دھویا
sajna,سجنا
cost,کسٹ
1hour,ہور
aage,آگے
filhal,الحال
ali,علی(علیہ
70,٧٠
quran,قران
great,گریٹ
al,الجهاد
banao,بناوں
ali,الی
jate,جاتے
smart,سمارٹ
unho,انهوں
parhay,پڑھے
dimpledollhania,ڈمپل
faan,فان
bhai,بهاءی
fizaon,فضاؤں
photo,پحوٹو
shio,شیو
parho,پڑھو
namazen,نمازیں
ruka,روکا
qarz,قرض
ijtama,اجتماع
bnatay,بناتے
talwar,تلوار
barrhnay,بڑھنے
chandni,چاندی
inward,انوارڈ
sochte,سوچتے
baray,بارے
pehra,پہرا
arab,عرب
marte,مرتے
p,پي
koshish,کوش
ha,حا
khata,خطا
shair,شیر
dho,دھو
skin,سکن
utri,اتری
alaikum,علیکم
hello,ہیللو
kuch,کچه
syast,سیاست
chale,چلے
disaster,ڈساسٹر
muft,مفت
mic,میک
kamray,کمرے
akela,اکیلا
machane,مچانے
adha,آدھ
dhonda,ہونڈا
lang,لانگ
bardigat,بارڈی
ibteda,ابتدا
gahra,گہرا
nikalta,نکلتا
razi,راضی
hunain,حنین
akhrat,آخرت
hoti,ہوتی
jao,جاو
premnagar,پریم
re,ریا
hadees,حدیث
sone,سونے
kharish,خارش
z,زید
nikah,نکاح
lafzon,لفظوں
shola,شولا
salfi,سلفی
ada,ادا
quantity,کوانٹٹي
kai,کای
nooriparihi,نوری
discard,ڈسسارڈ
li,لی
rahimyarkhan,رحیم
loon,لوں
ghuroob,غروب
chakwal,چکوال
hat,هاتہ
hadon,حدوں
glasses,گلسسسس
rishton,رشتوں
pehl,پہل
parhatey,پڑھاتے
ult,الٹ
urraati,اڑاتی
chal,چال
qaid,قید
gharibai,غریبی
zia,ضیا
mai,میاں
ro0mio,رومیوں
piyas,پیاس
khailne,کھیلنے
guy,گيي
kron,کروں
soomro,سومرو
cofethanks,کوفے
park,پارک
anjam,انجام
jiska,جسکا
hone,ھونے
loha,لوہا
hi,ہائی
qoul,قول
andhera,اندھیرا
jameelin,جمیل
also,السو
hena,ہنا
badalne,بدلنے
bujhe,بجھے
bna,بنا
bhai,بح
†ansuon,آنسوں
funkar,فنکار
aswad3stars,اسود
gujratimunde,گجراتی
you,يو
mirror,مررور
aarzo,آرزو
taar,تار
mumtaz,ممتاز
building,بولڈنگ
prea,پریہ
wearani,ویرانی
umair,يمير
pyar,پیار
pishab,پیشاب
howe,ہووے
language,لانگياج
pathan,پٹھان
dukhon,دکھوں
lage,لگے
nadim,نادم
pre,پرے
qehqahey,قہقہے
gali,گلی
lovly,لولی
dilaya,دلایا
husband,حسبند
heera,ہیرا
baqi,باقی
gulab,گلاب
qurani,قرآنی
mastergee,ماسٹر
dharakta,دھڑکتا
jagne,جاگنے
shanon,شانوں
laadlaa,لاڈلا
afsaraan,افسران
sandooq,صندوق
lekin,ليکن
irada,ارادہ
btany,بتانے
dedo,دیدو
w,وسلم
bahnen,بہنیں
dawat,دعوت
percham,پرچم
mary,مارے
rishte,رشتے
hungry,هنگری
book,بوک
intikhab,انتخاب
shohar,شوہر
zia,ض
changa,چنگا
tumhara,تمہارا
picture,پکٹير
nishaan,نشان
school,سچول
dad,ڈاڈ
theory,تھیوری
mangne,مانگنے
guzarny,گزارنے
must,مسٹ
tera,تیرا
ho,ہو
bhoolne,بھولنے
islamic,اسلامک
g0onge,گونگے
cheeniwo,چینی
kami,کامی
mile,ملے
marz,مرض
irfan,عرفان
ya,يا
banana,بنانا
hope,حوپي
kora,کوڑا
40,٤٠
nah,ناه
kaka,کاکا
raahon,راہوں
room,روم
dj,دج
son,سون
wala,والا
tooti,ٹوٹی
pareshan,پریشان
jump,جمپ
assault,اسايلٹ
intro,انٹرو
din,دیں
pelane,پلانے
bawajod,باوجود
lubaba,لباب
tehreer,تحریر
toot,ٹوٹ
hundred,حانڈريڈ
dhond,ڈھونڈ
janaze,جنازے
izafa,اضافہ
he,ہےکے
zaher,زهیر
most,موست
pkhtoon,پختونخواہ
farishte,فرشتے
bhaagny,بھاگنے
waqas,وقاص
zakhm,زخم
neck,نيک
dal,ڈال
tareke,طریقے
imtiaz,امتیاز
jaon,جاؤں
bola,بولا
tabdeel,تبديل
zor,زور
baha,بہا
jazbo,جذبوں
ishq,عشق
mazaq,مذاق
slim,سلیم
joti,جوتی
sochon,سوچوں
mama,ماما
mera,میرا
mehsus,محسوس
mara,مرا
himt,ہمت
zarurat,ضرورت
chalna,چلنا
deta,دیتا
chashm,چشم
lost,لوسٹ
nhi,نهیں
daway,دعوے
nabz,نبض
o,و
nhi,نہیں
kantay,کانٹے
faqeer,فقیر
misl,مثل
mafi,معافی
hahaha,ہا
sarsari,سرسری
ishara,اشارہ
nagan,ناگن
soch,سوچ
aaib,عیب
unless,انليس
chupke,چپکے
baby,بابی
ye,ییہ
waqt,وقت
majboor,مجبور
inquiry,انکوري
tamam,تمام
se,سے
slip,سلپ
toti,توتی
ustad,استاد
fazol,فضول
dekhana,دکھانا
mohsin,موحسن
ganwa,گنوا
uth,اٹھ
lagwa,لگوا
majbori,مجبوری
twinkle,ٹونکل
zani,زنی
newzeland,نیوزی
junaid,جنيد
january,جنوري
asliat,اصلیت
phirne,پھرنے
manana,منانا
smell,سميل
yaro,یاروں
owner,ونير
fail,فيل
atoot,اٹوٹ
bachao,بچاؤ
bilal,بلال
rakhe,رکھے
clear,کلیر
hathon,ہاتھوں
face,فاک
sakt,سکت
tail,تيل
jag,جاگ
lips,لپس
afsanay,افسانے
awaz,آواز
junaid,جينيڈ
hn,ہن
dosto,دوستو
zaat,ذات
seat,سيٹ
iron,رون
sameer,سمیر
sara,سارا
walda,والده
ula,الا
key,کيي
thi,تهی
karwaya,کرایا
pohanchane,پہچانے
log,لؤگ
subha,سبھا
gnda,گندا
sulah,صلاح
farhan,فرحان
aya,ایا
pattay,پتے
ti,ٹوٹتی
ahista,آہستہ
face,فيس
122,۱۲۲
hat,ہٹ
thank,حنک
buzarg,بزرگ
gir,گر
blkul,بالکل
mehfil,محفل
performance,پرفامنس
infomation,انفارمیشن
enough,يناؤ
gaib,غائب
mukar,مکر
badal,بد
tasalli,تسلی
azam,اعظم
khasta,خستہ
ado,ادہ
space,اسپيس
ziarat,زرارت
ra,علی(رض
wife,وائف
salman,سلان
huy,ہوئے
funny,فنی
na,نہ
nasha,نشہ
aik,ايک
atif23,٢٣
tara,تر
hazrat,حضرت
hyper,هایپر
bacha,بچہ
faasla,فاصلہ
fatah,فتح
improve,مپرؤو
space,سپیس
abi,ابھی
loverzlyke,لیک
farah,فرح
arrangement,اررانجمنٹ
tough,ٹاؤ
rehny,رہنے
prng,پروگرام
kasam,قسمآی
shugal,شغل
tohfa,تحفہ
awaraboyz,آوارہ
he,اسوقت
fear,فیئر
kiler,کلر
ful,فل
game,گيم
loveurajj,یوراج
cntr0l,کنٹرول
sarang,سرنگ
yaksar,یکسر
find,فاینڈ
tag,تیگ
driver,ڈرایئور
samjtay,سمجھتے
mobile,موباءل
my,مائ
number,نمبرز
kal,کل
40,۴۰
trousers,ٹراوسيرس
nqvi,نقوی
dijiye,دیجئے
and,اینڈ
reply,رپلاءی
tag,ٹيگ
name,نيم
bandar,بندر
invite,انوائٹ
makory,مکوڑے
lag,لگ
dil,دِل
jarr,جڑ
ba'din,بدن
friend,فریبڈ
number,نمبرپر
jok,جاب
chalna,چلانا
sincere,سنسر
fajar,فجر
pak,اپک
saye,سائے
sani,عینی6
pathan,پھٹان
din,دن
blame,بليم
in,اِن
mansehra,مانسرہ
machli,مچھلی
pases,پاسز
gap,گَپ
petition,پيٹشن
behn0n,بہنوں
tariqa,طریقہ
ali,الي
pehnk,پھینک
tarafa,طرفہ
hunar,ہنر
khan,خين
wo,وہ
mr,مسٹر
is,اِس
zehar,زہر
loan,لوين
attend,آیتٹڈ
siwae,سوائے
itfun,فو
badla,بدلہ
about,اباوٹ
mashwara,مشورہ
rota,روکتا
invite,انوأٹ
160,۱۶۰
wpsi,واپسی
doctor,ڈکٹر
pehar,پہر
dafan,دفن
shout,شاوٹ
representative,ریپرسنتتیز
accusation,اککساشن
nazar,نظر
parhai,پڑھائی
section4,سیکشن
sharminda,شرمندہ
mur,مڑ
number,نبمر
bistar,بستر
race,ريس
pichli,پچھلی
poetry,پوٹرے
haibulaya,بلایا
rax,رسک
ghazal,غزل
sar,سر
move,موو
sehan,صحن
kamina,کمینہ
alvi,علوی
mulahiza,ملاحظہ
si,عنایت
hamza,حمزہ
him,حم
gulistan,گلابان
madina,مدينہ
polite,پولائیٹ
flower,فلاور
jinnah,جناح
usa,امریکا
stats,سٹیٹس
mobile,موبائل
december,دسمبر
qadar,قدر
msg,میسج
phasane,پھنسانے
clever,کلئور
tek,تهیت
aw,ارمانی
chamak,چمک
direction,ڈريسشن
brother,بورهتر
jamhazaron,جم
kahiyo,کھیو
leavng,لیونگ
th,ہوی
zaamin,ضامن
puchna,پوچھنا
dhundley,ڈھلنے
gooshtkeere,کیڑے
chara§sazo,سازو
upcoming,کمنگ
rum,رمضان
may,مئی
palat,پلٹ
use,اسسے
maalik,مالک
august,اگست
kay,کھلاؤں
parda,پردہ
guzar,گزر
mouth,ماوتھ
ftawa,فتویٰ
ha,امسالو
bezaar,زار
rit,رائیٹ
easy,ايذي
qabar,قبر
falak,فلک
ground,گروانڈ
shayan,حیان
shop,شاپ
zaat,زاد
thaam,ٹھاک
mom,مام
qismat,قسمت
hawala,حوالہ
dil,دلک
now,ناؤ
gh„z†l>£=jinhain,جنھیں
tracks,ٹریکس
qehat,قحط
ye,یہ
rajab,رجب
change,چیگ
zama,زمہ
taras,ترس
aye,آۓ
nagaras,نگر
zafar,ظفر
dedicated,ڈیدیکیٹ
qatal,قتل
jidhar,جدھر
bataen,بتائیں
except,ایکسیپت
mainy,مانے
sitam,ستم
hy,ھے
music,میوذک
hissa,حصہ
insane,انسین
jhalak,جھلک
nafrat,نفرت
muttahid,متحد
istemal,استعمال
behan,بہن
aabhati,بھٹی
kamina,کمینے
quota,کوٹہ
area,ایرےا
angel,اینجل
eid,عید
pakda,پکڑا
football,فوٹبول
mathai,مٹھائی
hockey,هاکي
pan,پن
pharta,پڑھتے
pakar,پکڑ
baly,بلے
argue,آرگؤ
chose,چوز
khalal,خلل
lagaty,لگاتے
admin,ایڈمن
basny,بسنے
ni,نہيں
pakistani,پکستی
soe,سوئے
chot,چھوٹ
name,نیم
sum,صم
pochon,پوچھوں
nikal,نکل
ehsaanjataya,جتایا
halwa,حلوہ
reply,رپلاے
answer,اينسوير
karnakemanshaitan,شیطان
good,گڈ
sak007,سک
dukaan,دکان
jeetege4ndshpland,جیتیں
frmaenge,فرمائیں
fire,فائر
either,ايدر
logun,لگن
hui,ہوئی
lagny,لگنے
sim,سم
male,میل
roye,روئے
angel,انجل
nice,نائس
sukkur,سکهر
gum,گم
qatar,قطر
azziyati,اذیت
mahikm,مہک
shear,شئیر
passage,پاساج
have,هیو
itni,انٹی
faiday,فائدے
sat,سیچرڈے
maa,موم
starplus,پلس
bewafai,وفائی
sony,سنے
shakal,شکل
reply,رپلائی
place,پليس
bahana,بہانہ
sub,سبکو
roopa,روو
chory,چھوڑے
oupar,آرہے
frnd,فرینڈ
rain1,رائن
lagny,لگانے
tasawur,تصور
lover,لوؤر
da,دہ
tery,ترے
sehma,حادثہ
jigar,گرہوں
tujhe,تومجھے
islamabad,آباد
te,طہ
sajid,جد
hawaen,ہوائیں
darul,ڈرل
house,ہاؤس
bachny,بچانے
easy,ایزی
hojaye,ہوجانے
cholay,چھولے
time,ٹاءیم
forget,فورجٹ
hai,عرشہ
